4175,2173,17,1,2025-06-06 17:37:13
4176,2173,17,2,2025-06-09 17:36:14
4177,2173,17,3,2025-06-12 14:10:18
4178,2174,17,1,2025-06-16 17:36:11
4179,2174,17,2,2025-06-17 06:14:45
4180,2174,17,3,2025-06-23 08:56:28
4181,2176,17,1,2025-06-23 12:02:38
4182,2177,17,1,2025-06-23 15:53:11
4183,2175,17,1,2025-06-25 13:44:19
4184,2177,17,2,2025-06-25 15:36:37
4185,2178,17,1,2025-06-26 07:27:34
4186,2179,17,1,2025-06-26 09:09:32
4187,2181,17,1,2025-06-26 10:20:49
4188,2179,17,2,2025-06-27 07:49:01
4189,2175,17,2,2025-06-27 08:05:10
4190,2181,17,2,2025-06-27 12:08:29
4191,2183,17,1,2025-06-27 15:07:16
4192,2184,17,1,2025-06-27 17:57:39
4193,2174,17,2,2025-06-30 06:47:48
4194,2178,17,2,2025-06-30 12:26:29
4195,2180,17,1,2025-06-30 16:34:44
4196,2182,17,1,2025-06-30 17:09:13
4197,2185,17,1,2025-06-30 17:20:41
4198,2186,17,1,2025-06-30 17:24:12
4199,2175,17,3,2025-07-01 13:12:26
4200,2182,17,2,2025-07-02 09:40:01
4201,2186,17,2,2025-07-02 14:43:38
4202,2179,17,3,2025-07-03 08:26:50
4203,2177,17,3,2025-07-03 08:32:29
4204,2187,17,1,2025-07-03 12:03:40
4205,2190,17,1,2025-07-03 15:05:15
4206,2181,17,3,2025-07-03 16:41:04
4207,2192,17,1,2025-07-03 18:33:23
4208,2174,17,3,2025-07-07 09:04:42
4209,2175,17,2,2025-07-07 09:07:57
4210,2178,17,3,2025-07-07 15:58:00
4211,2183,17,2,2025-07-07 15:59:36
4212,2191,17,1,2025-07-07 18:50:55
4213,2190,17,2,2025-07-08 10:38:07
4214,2186,17,3,2025-07-08 14:32:17
4215,2182,17,3,2025-07-10 09:21:27
4216,2187,17,2,2025-07-10 13:47:27
4217,2188,17,1,2025-07-11 08:58:53
4218,2188,17,2,2025-07-14 15:05:34
4219,2187,17,3,2025-07-16 08:43:30
4220,2188,17,3,2025-07-18 15:02:06
