2080,1151,5
2082,1153,5
2083,1157,2
2084,1151,2
2085,1157,3
2086,1152,6
2087,1159,3
2088,1159,5
2089,1156,5
2092,1158,1
2093,1153,2
2095,1158,2
2097,1157,6
2098,1158,6
2099,1156,6
2101,1154,6
2102,1159,6
2103,1157,4
2104,1153,6
2108,1153,4
2110,1151,6
2114,1158,5
2115,1158,3
2116,1157,5
2117,1161,1
2118,1160,6
2119,1164,6
2121,1163,6
2123,1163,1
2125,1160,5
2126,1160,4
2128,1161,6
2129,1161,5
2130,1160,4
2134,1164,2
2135,1163,4
2136,1164,5
2137,1166,2
2139,1165,6
2140,1166,6
2141,1168,5
2143,1169,6
2144,1169,5
2145,1167,3
2146,1168,6
2148,1168,4
2149,1167,6
2173,1170,4
2176,1171,2
2180,1172,2
2183,1170,3
2184,1173,2
2185,1172,2
2189,1171,1
