5671,3,8,4,10.99
5671,34,13,100,5.99
5671,35,13,100,5.99
5673,94,8,4,7.99
5673,96,11,4,8.99
5673,139,8,4,6.99
5674,150,8,10,8.99
5674,147,7,100,5.99
5674,149,7,100,7.99
5674,120,8,3,8.99
5676,1,23,25,8.99
5676,25,7,10,2.99
5676,122,8,4,7.99
5676,117,8,3,11.99
5676,88,7,10,2.5
5679,98,11,50,6.99
5679,99,11,50,4.99
5679,100,11,100,3.99
5679,97,14,5,5.99
5682,145,24,25,4.99
5682,112,10,10,4.99
5682,89,8,3,6.99
5682,36,10,10,4.99
5683,11,24,2,11.99
5683,12,24,2,11.99
5683,14,18,3,25.99
5683,15,18,3,23.99
5683,40,24,3,15.99
5683,41,24,3,17.99
5686,45,24,3,8.99
5686,47,2,3,12.99
5686,64,24,2,18.99
5688,81,18,3,23.99
5688,82,24,5,13.99
5688,83,24,5,16.99
5688,105,8,6,8.99
5688,106,8,6,8.99
5691,104,10,5,10.99
5691,102,10,5,10.99
5691,85,10,3,7.99
5691,93,8,3,7.99
5694,73,8,3,17.99
5694,149,17,3,25.99
5694,150,17,5,7.99
5698,96,11,25,7.99
5698,88,10,10,3.99
5698,90,24,5,8.99
5699,95,8,3,12.99
5699,117,8,4,15.99
5699,103,10,5,6.99
5699,118,8,3,6.99
5702,65,7,10,3.99
5702,46,10,5,5.99
5702,58,9,5,6.99
